,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,59,0.2,0.5,1,SN,Y-SQ-ONE,1,0.9999999999999972,1,N,14,1,0,0,0,0,0
1,59,0.8,1.1,2,SN,B-SQ-ONE,1,0.9999999999999984,1,N,14,2,0,0,0,0,0
2,59,1.4,1.7,3,SN,R-CR-TWO,2,0.9999999999999858,2,N,14,3,0,0,0,0,0
3,59,2.0,2.3,4,N,R-CR-THREE,3,0.9999999999999505,3,N,14,4,0,0,0,0,0
4,59,2.6,2.9,5,N,B-ST-ONE,1,0.9999999999999941,1,N,14,5,0,0,0,0,0
5,59,3.21,3.51,6,N,Y-ST-ONE,1,0.9999999999999933,1,N,14,6,0,0,0,0,0
6,59,3.81,4.11,7,N,B-CR-ONE,1,0.9999999999999961,1,N,14,7,0,0,0,0,0
7,59,4.41,4.71,8,SN,R-TR-THREE,3,0.9999999999999709,3,N,14,8,0,0,0,0,0
8,59,5.01,5.31,9,SN,Y-TR-THREE,3,0.9999999999999885,3,N,14,9,0,0,0,0,0
9,59,5.61,5.91,10,CN,R-CR-ONE,1,0.9999999999999964,1,N,14,10,0,0,0,0,0
10,59,6.21,6.51,11,N,B-TR-FOUR,3,0.9999999999999981,4,S,14,X,1,1,1,1,0
11,59,6.81,7.11,12,CS,B-CR-FOUR,2,0.9999999999999982,2,S,14,1,1,0,0,0,0
12,59,7.41,7.71,13,S,G-ST-THREE,4,0.9999999999999704,4,S,14,2,1,0,0,0,0
13,59,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999799,4,S,14,3,1,0,0,0,0
14,59,8.61,8.91,15,S,G-SQ-TWO,1,0.9999999999999688,1,S,14,4,1,0,0,0,0
15,59,9.22,9.52,16,SN,B-TR-THREE,3,0.999999999999988,3,S,14,5,1,0,0,0,0
16,59,9.82,10.12,17,S,Y-SQ-FOUR,1,0.9999999999999778,1,S,14,6,1,0,0,0,0
17,59,10.42,10.72,18,S,B-SQ-FOUR,1,0.9999999999999615,1,S,14,7,1,0,0,0,0
18,59,11.02,11.32,19,CS,G-TR-FOUR,3,0.9999999999999944,3,S,14,8,1,0,0,0,0
19,59,11.62,11.92,20,S,G-ST-TWO,4,0.9999999999999658,4,S,14,9,1,0,0,0,0
20,59,12.22,12.52,21,S,B-SQ-THREE,1,0.99999999999998,1,S,14,10,1,0,0,0,0
21,59,12.82,13.12,22,S,R-TR-TWO,1,0.9999999999999974,3,C,14,X,2,1,1,1,0
22,59,13.42,13.72,23,C,R-ST-TWO,1,0.9999999999999557,1,C,14,1,2,0,0,0,0
23,59,14.02,14.32,24,CN,Y-TR-FOUR,4,0.9999999999999605,4,C,14,2,2,0,0,0,0
24,59,14.62,14.92,25,CSN,R-SQ-ONE,1,0.999999999999971,1,C,14,3,2,0,0,0,0
25,59,15.22,15.52,26,C,Y-SQ-TWO,4,0.9999999999999805,4,C,14,4,2,0,0,0,0
26,59,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.999999999999963,4,C,14,5,2,0,0,0,0
27,59,16.43,16.73,28,CN,B-TR-TWO,2,0.9999999999999601,2,C,14,6,2,0,0,0,0
28,59,17.03,17.33,29,C,Y-CR-TWO,4,0.9999999999999749,4,C,14,7,2,0,0,0,0
29,59,17.63,17.93,30,C,G-ST-ONE,3,0.9999999999999747,3,C,14,8,2,0,0,0,0
30,59,18.23,18.53,31,CN,G-SQ-THREE,3,0.9999999999999886,3,C,14,9,2,0,0,0,0
31,59,18.83,19.13,32,C,B-ST-THREE,2,0.9999999999999574,2,C,14,10,2,0,0,0,0
32,59,19.44,19.74,33,C,B-ST-FOUR,4,0.9999999999999969,2,S,14,X,3,1,1,1,0
33,59,20.04,20.34,34,N,G-TR-ONE,3,0.9999999999999973,1,S,14,X,3,1,0,0,0
34,59,20.64,20.94,35,CS,G-TR-TWO,3,0.9999999999999928,3,S,14,1,3,0,0,0,0
35,59,21.24,21.54,36,S,Y-CR-THREE,2,0.9999999999999803,2,S,14,2,3,0,0,0,0
36,59,21.84,22.14,37,CS,R-SQ-THREE,1,0.9999999999999932,1,S,14,3,3,0,0,0,0
37,59,22.44,22.74,38,S,Y-SQ-THREE,1,0.999999999999986,1,S,14,4,3,0,0,0,0
38,59,23.04,23.34,39,S,Y-TR-ONE,3,0.9999999999999806,3,S,14,5,3,0,0,0,0
