,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,31,0.2,0.5,1,C,Y-SQ-ONE,1,0.999999999999992,4,S,23,X,0,1,0,0,0
1,31,0.8,1.1,2,SN,B-SQ-ONE,1,0.9999999999999819,1,S,23,1,0,0,0,0,0
2,31,1.4,1.7,3,SN,R-CR-TWO,2,0.9999999999999591,2,S,23,2,0,0,0,0,0
3,31,2.0,2.3,4,N,R-CR-THREE,2,0.9999999999999978,3,S,23,X,0,1,1,0,0
4,31,2.6,2.9,5,S,B-ST-ONE,4,0.9999999999999778,4,S,23,1,0,0,0,0,0
5,31,3.21,3.51,6,CS,Y-ST-ONE,4,0.999999999999978,4,S,23,2,0,0,0,0,0
6,31,3.81,4.11,7,CS,B-CR-ONE,2,0.9999999999999837,2,S,23,3,0,0,0,0,0
7,31,4.41,4.71,8,SN,R-TR-THREE,3,0.9999999999999752,3,S,23,4,0,0,0,0,0
8,31,5.01,5.31,9,SN,Y-TR-THREE,3,0.9999999999999712,3,S,23,5,0,0,0,0,0
9,31,5.61,5.91,10,S,R-CR-ONE,2,0.9999999999999806,2,S,23,6,0,0,0,0,0
10,31,6.21,6.51,11,S,B-TR-FOUR,3,0.9999999999999735,3,S,23,7,0,0,0,0,0
11,31,6.81,7.11,12,CS,B-CR-FOUR,2,0.9999999999999855,2,S,23,8,0,0,0,0,0
12,31,7.41,7.71,13,S,G-ST-THREE,4,0.9999999999999679,4,S,23,9,0,0,0,0,0
13,31,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999775,4,S,23,10,0,0,0,0,0
14,31,8.61,8.91,15,S,G-SQ-TWO,2,0.9999999999999972,1,N,23,X,1,1,1,1,0
15,31,9.22,9.52,16,C,B-TR-THREE,3,0.9999999999999973,2,N,23,X,1,1,0,0,0
16,31,9.82,10.12,17,CN,Y-SQ-FOUR,4,0.9999999999999679,4,N,23,1,1,0,0,0,0
17,31,10.42,10.72,18,N,B-SQ-FOUR,4,0.9999999999999707,4,N,23,2,1,0,0,0,0
18,31,11.02,11.32,19,N,G-TR-FOUR,4,0.9999999999999915,4,N,23,3,1,0,0,0,0
19,31,11.62,11.92,20,N,G-ST-TWO,2,0.9999999999999802,2,N,23,4,1,0,0,0,0
20,31,12.22,12.52,21,N,B-SQ-THREE,3,0.9999999999999846,3,N,23,5,1,0,0,0,0
21,31,12.82,13.12,22,N,R-TR-TWO,2,0.9999999999999611,2,N,23,6,1,0,0,0,0
22,31,13.42,13.72,23,N,R-ST-TWO,2,0.9999999999999788,2,N,23,7,1,0,0,0,0
23,31,14.02,14.32,24,CN,Y-TR-FOUR,4,0.9999999999999878,4,N,23,8,1,0,0,0,0
24,31,14.62,14.92,25,CSN,R-SQ-ONE,1,0.9999999999999718,1,N,23,9,1,0,0,0,0
25,31,15.22,15.52,26,N,Y-SQ-TWO,2,0.9999999999999665,2,N,23,10,1,0,0,0,0
26,31,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.9999999999999841,4,C,23,1,2,0,0,0,0
27,31,16.43,16.73,28,CN,B-TR-TWO,2,0.999999999999973,2,C,23,2,2,0,0,0,0
28,31,17.03,17.33,29,SN,Y-CR-TWO,4,0.9999999999999967,2,C,23,X,2,1,1,1,0
29,31,17.63,17.93,30,S,G-ST-ONE,3,0.9999999999999963,4,C,23,X,2,1,1,0,0
30,31,18.23,18.53,31,CN,G-SQ-THREE,3,0.999999999999958,3,C,23,1,2,0,0,0,0
31,31,18.83,19.13,32,C,B-ST-THREE,2,0.999999999999981,2,C,23,2,2,0,0,0,0
32,31,19.43,19.73,33,C,B-ST-FOUR,2,0.9999999999999596,2,C,23,3,2,0,0,0,0
33,31,20.03,20.33,34,CS,G-TR-ONE,3,0.9999999999999529,3,C,23,4,2,0,0,0,0
34,31,20.63,20.93,35,CS,G-TR-TWO,3,0.999999999999934,3,C,23,5,2,0,0,0,0
35,31,21.23,21.53,36,C,Y-CR-THREE,4,0.9999999999999724,4,C,23,6,2,0,0,0,0
36,31,21.84,22.14,37,CS,R-SQ-THREE,1,0.9999999999999802,1,C,23,7,2,0,0,0,0
37,31,22.44,22.74,38,C,Y-SQ-THREE,4,0.9999999999999419,4,C,23,8,2,0,0,0,0
38,31,23.04,23.34,39,C,Y-TR-ONE,4,0.9999999999999399,4,C,23,9,2,0,0,0,0
39,31,23.64,23.94,40,C,Y-CR-ONE,4,0.9999999999999847,4,C,23,10,2,0,0,0,0
40,31,24.24,24.54,41,CN,R-ST-ONE,4,0.9999999999999974,1,S,23,X,3,1,1,1,0
41,31,24.84,25.14,42,N,R-TR-FOUR,3,0.999999999999997,4,S,23,X,3,1,1,0,0
42,31,25.44,25.74,43,CSN,G-TR-THREE,3,0.9999999999999688,3,S,23,1,3,0,0,0,0
43,31,26.04,26.34,44,S,B-TR-ONE,3,0.9999999999999825,3,S,23,2,3,0,0,0,0
44,31,26.64,26.94,45,S,G-CR-FOUR,2,0.9999999999999678,2,S,23,3,3,0,0,0,0
45,31,27.25,27.55,46,CS,B-CR-THREE,2,0.9999999999999899,2,S,23,4,3,0,0,0,0
46,31,27.85,28.15,47,CS,R-SQ-FOUR,1,0.9999999999999772,1,S,23,5,3,0,0,0,0
47,31,28.45,28.75,48,SN,R-ST-FOUR,4,0.9999999999999601,4,S,23,6,3,0,0,0,0
48,31,29.05,29.35,49,S,B-ST-TWO,4,0.999999999999989,4,S,23,7,3,0,0,0,0
49,31,29.65,29.95,50,S,G-CR-ONE,2,0.9999999999999861,2,S,23,8,3,0,0,0,0
50,31,30.25,30.55,51,S,R-TR-ONE,3,0.9999999999999951,3,S,23,9,3,0,0,0,0
51,31,30.85,31.15,52,S,G-CR-THREE,2,0.9999999999999917,2,S,23,10,3,0,0,0,0
52,31,31.45,31.75,53,S,R-CR-FOUR,4,0.9999999999999972,2,N,23,X,4,1,1,1,0
53,31,32.05,32.35,54,CN,Y-CR-FOUR,4,0.9999999999999714,4,N,23,1,4,0,0,0,0
54,31,32.65,32.95,55,C,G-SQ-ONE,1,0.9999999999999961,3,N,23,X,4,1,1,0,0
55,31,33.26,33.56,56,N,R-SQ-TWO,2,0.9999999999999746,2,N,23,1,4,0,0,0,0
56,31,33.86,34.16,57,N,Y-TR-TWO,2,0.9999999999999728,2,N,23,2,4,0,0,0,0
57,31,34.46,34.76,58,N,Y-ST-TWO,2,0.9999999999999735,2,N,23,3,4,0,0,0,0
58,31,35.06,35.36,59,CSN,B-CR-TWO,2,0.9999999999999726,2,N,23,4,4,0,0,0,0
59,31,35.66,35.96,60,SN,G-CR-TWO,2,0.9999999999999576,2,N,23,5,4,0,0,0,0
60,31,36.26,36.56,61,CN,B-SQ-TWO,2,0.99999999999997,2,N,23,6,4,0,0,0,0
61,31,36.86,37.16,62,N,Y-ST-THREE,3,0.9999999999999752,3,N,23,7,4,0,0,0,0
62,31,37.46,37.76,63,N,R-ST-THREE,3,0.999999999999967,3,N,23,8,4,0,0,0,0
63,31,38.06,38.36,64,N,G-SQ-FOUR,4,0.9999999999999818,4,N,23,9,4,0,0,0,0
64,31,38.66,38.96,65,SN,Y-SQ-ONE,1,0.9999999999999796,1,N,23,10,4,0,0,0,0
65,31,39.26,39.56,66,SN,B-SQ-ONE,2,0.9999999999999968,1,C,23,X,5,1,1,1,0
66,31,39.87,40.17,67,SN,R-CR-TWO,1,0.9999999999999977,2,C,23,X,5,1,1,1,0
67,31,40.47,40.77,68,C,R-CR-THREE,1,0.9999999999999626,1,C,23,1,5,0,0,0,0
68,31,41.07,41.37,69,C,B-ST-ONE,2,0.9999999999999688,2,C,23,2,5,0,0,0,0
69,31,41.67,41.97,70,CS,Y-ST-ONE,4,0.9999999999999584,4,C,23,3,5,0,0,0,0
70,31,42.27,42.57,71,CS,B-CR-ONE,2,0.9999999999999738,2,C,23,4,5,0,0,0,0
71,31,42.87,43.17,72,C,R-TR-THREE,1,0.9999999999999744,1,C,23,5,5,0,0,0,0
72,31,43.47,43.77,73,C,Y-TR-THREE,4,0.9999999999999541,4,C,23,6,5,0,0,0,0
