,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,34,0.2,0.5,1,SN,Y-SQ-ONE,1,0.999999999999985,1,N,8,1,0,0,0,0,0
1,34,0.8,1.1,2,SN,B-SQ-ONE,1,0.9999999999999415,1,N,8,2,0,0,0,0,0
2,34,1.4,1.7,3,SN,R-CR-TWO,2,0.9999999999999353,2,N,8,3,0,0,0,0,0
3,34,2.0,2.3,4,S,R-CR-THREE,3,0.9999999999999962,2,N,8,X,0,1,1,0,0
4,34,2.6,2.9,5,C,B-ST-ONE,1,0.9999999999999906,2,N,8,X,0,1,0,0,0
5,34,3.21,3.51,6,N,Y-ST-ONE,1,0.9999999999999225,1,N,8,1,0,0,0,0,0
6,34,3.81,4.11,7,N,B-CR-ONE,1,0.9999999999999475,1,N,8,2,0,0,0,0,0
7,34,4.41,4.71,8,SN,R-TR-THREE,3,0.9999999999999328,3,N,8,3,0,0,0,0,0
8,34,5.01,5.31,9,SN,Y-TR-THREE,3,0.9999999999999343,3,N,8,4,0,0,0,0,0
9,34,5.61,5.91,10,CN,R-CR-ONE,1,0.9999999999999516,1,N,8,5,0,0,0,0,0
10,34,6.21,6.51,11,N,B-TR-FOUR,4,0.9999999999999415,4,N,8,6,0,0,0,0,0
11,34,6.81,7.11,12,N,B-CR-FOUR,4,0.9999999999999256,4,N,8,7,0,0,0,0,0
12,34,7.41,7.71,13,CN,G-ST-THREE,3,0.9999999999999275,3,N,8,8,0,0,0,0,0
13,34,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999151,4,N,8,9,0,0,0,0,0
14,34,8.61,8.91,15,N,G-SQ-TWO,2,0.9999999999999466,2,N,8,10,0,0,0,0,0
15,34,9.22,9.52,16,SN,B-TR-THREE,2,0.9999999999999979,3,C,8,X,1,1,1,1,0
16,34,9.82,10.12,17,S,Y-SQ-FOUR,4,0.999999999999998,1,C,8,X,1,1,1,0,0
17,34,10.42,10.72,18,C,B-SQ-FOUR,2,0.9999999999999981,2,C,8,1,1,0,0,0,0
18,34,11.02,11.32,19,CS,G-TR-FOUR,3,0.9999999999999364,3,C,8,2,1,0,0,0,0
19,34,11.62,11.92,20,C,G-ST-TWO,3,0.9999999999999161,3,C,8,3,1,0,0,0,0
20,34,12.22,12.52,21,C,B-SQ-THREE,2,0.9999999999999479,2,C,8,4,1,0,0,0,0
21,34,12.82,13.12,22,C,R-TR-TWO,1,0.999999999999938,1,C,8,5,1,0,0,0,0
22,34,13.42,13.72,23,N,R-ST-TWO,1,0.9999981799111801,2,C,8,X,1,1,0,1,1
23,34,14.02,14.32,24,CN,Y-TR-FOUR,4,0.9999999999999519,4,C,8,1,1,0,0,0,0
24,34,14.62,14.92,25,CSN,R-SQ-ONE,1,0.9999999999999403,1,C,8,2,1,0,0,0,0
25,34,15.22,15.52,26,N,Y-SQ-TWO,4,0.9999999999999972,2,C,8,X,1,1,1,1,0
26,34,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.9999999999999356,4,C,8,1,1,0,0,0,0
27,34,16.43,16.73,28,S,B-TR-TWO,2,0.9999999999999969,3,C,8,X,1,1,1,0,0
28,34,17.03,17.33,29,C,Y-CR-TWO,4,0.9999999999999246,4,C,8,1,1,0,0,0,0
29,34,17.63,17.93,30,,G-ST-ONE,3,0.9999999999999825,2,C,8,X,1,1,0,0,0
30,34,18.23,18.53,31,,G-SQ-THREE,3,0.9999999999999979,2,C,8,X,1,1,0,0,0
31,34,18.83,19.13,32,C,B-ST-THREE,2,0.9999999999999633,2,C,8,1,1,0,0,0,0
32,34,19.43,19.73,33,C,B-ST-FOUR,2,0.9999999999999479,2,C,8,2,1,0,0,0,0
33,34,20.03,20.33,34,CS,G-TR-ONE,3,0.9999999999999477,3,C,8,3,1,0,0,0,0
34,34,20.64,20.94,35,CS,G-TR-TWO,3,0.9999999999999208,3,C,8,4,1,0,0,0,0
35,34,21.24,21.54,36,C,Y-CR-THREE,4,0.9999999999999484,4,C,8,5,1,0,0,0,0
