,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,15,0.2,0.5,1,SN,Y-SQ-ONE,1,0.9999999999999047,1,S,22,1,0,0,0,0,0
1,15,0.81,1.11,2,C,B-SQ-ONE,1,0.9999999999999676,2,S,22,X,0,1,0,0,0
2,15,1.41,1.71,3,SN,R-CR-TWO,2,0.9999999999999147,2,S,22,1,0,0,0,0,0
3,15,2.01,2.31,4,N,R-CR-THREE,2,0.9999999999999969,3,S,22,X,0,1,1,0,0
4,15,2.61,2.91,5,S,B-ST-ONE,4,0.9999999999999278,4,S,22,1,0,0,0,0,0
5,15,3.21,3.51,6,CS,Y-ST-ONE,4,0.9999999999999224,4,S,22,2,0,0,0,0,0
6,15,3.81,4.11,7,CS,B-CR-ONE,2,0.9999999999999213,2,S,22,3,0,0,0,0,0
7,15,4.41,4.71,8,SN,R-TR-THREE,3,0.9999999999999362,3,S,22,4,0,0,0,0,0
8,15,5.01,5.31,9,SN,Y-TR-THREE,3,0.999999999999926,3,S,22,5,0,0,0,0,0
9,15,5.61,5.91,10,S,R-CR-ONE,2,0.9999999999999342,2,S,22,6,0,0,0,0,0
10,15,6.22,6.52,11,S,B-TR-FOUR,3,0.9999999999999407,3,S,22,7,0,0,0,0,0
11,15,6.82,7.12,12,CS,B-CR-FOUR,2,0.9999999999999248,2,S,22,8,0,0,0,0,0
12,15,7.42,7.72,13,S,G-ST-THREE,4,0.9999999999999424,4,S,22,9,0,0,0,0,0
13,15,8.02,8.32,14,SN,G-ST-FOUR,4,0.9999999999999449,4,S,22,10,0,0,0,0,0
14,15,8.62,8.92,15,S,G-SQ-TWO,2,0.9999999999999967,1,N,22,X,1,1,1,1,0
15,15,9.22,9.52,16,C,B-TR-THREE,3,0.9999999999999971,2,N,22,X,1,1,0,0,0
16,15,9.82,10.12,17,CN,Y-SQ-FOUR,4,0.9999999999999252,4,N,22,1,1,0,0,0,0
17,15,10.42,10.72,18,N,B-SQ-FOUR,4,0.9999999999999272,4,N,22,2,1,0,0,0,0
18,15,11.02,11.32,19,N,G-TR-FOUR,4,0.9999999999999408,4,N,22,3,1,0,0,0,0
19,15,11.63,11.93,20,N,G-ST-TWO,2,0.9999999999999252,2,N,22,4,1,0,0,0,0
20,15,12.23,12.53,21,N,B-SQ-THREE,3,0.9999999999999419,3,N,22,5,1,0,0,0,0
21,15,12.83,13.13,22,N,R-TR-TWO,2,0.9999999999999157,2,N,22,6,1,0,0,0,0
22,15,13.43,13.73,23,N,R-ST-TWO,2,0.9999999999999258,2,N,22,7,1,0,0,0,0
23,15,14.03,14.33,24,CN,Y-TR-FOUR,4,0.9999999999999293,4,N,22,8,1,0,0,0,0
24,15,14.63,14.93,25,CSN,R-SQ-ONE,1,0.9999999999999272,1,N,22,9,1,0,0,0,0
25,15,15.24,15.54,26,N,Y-SQ-TWO,2,0.999999999999926,2,N,22,10,1,0,0,0,0
26,15,15.84,16.14,27,CSN,Y-ST-FOUR,4,0.9999999999999282,4,C,22,1,2,0,0,0,0
27,15,16.45,16.75,28,CN,B-TR-TWO,2,0.9999999999999427,2,C,22,2,2,0,0,0,0
28,15,17.05,17.35,29,SN,Y-CR-TWO,4,0.9999999999999967,2,C,22,X,2,1,1,1,0
29,15,17.65,17.95,30,S,G-ST-ONE,3,0.9999999999999892,4,C,22,X,2,1,1,0,0
30,15,18.25,18.55,31,CN,G-SQ-THREE,3,0.9999999999999504,3,C,22,1,2,0,0,0,0
31,15,18.85,19.15,32,C,B-ST-THREE,2,0.9999999999999424,2,C,22,2,2,0,0,0,0
32,15,19.45,19.75,33,C,B-ST-FOUR,2,0.9999999999999215,2,C,22,3,2,0,0,0,0
33,15,20.07,20.37,34,CS,G-TR-ONE,3,0.9999999999999114,3,C,22,4,2,0,0,0,0
34,15,20.67,20.97,35,CS,G-TR-TWO,3,0.9999999999999122,3,C,22,5,2,0,0,0,0
35,15,21.27,21.57,36,C,Y-CR-THREE,4,0.999999999999926,4,C,22,6,2,0,0,0,0
36,15,21.89,22.19,37,CS,R-SQ-THREE,1,0.9999999999999154,1,C,22,7,2,0,0,0,0
37,15,22.49,22.79,38,C,Y-SQ-THREE,4,0.9999999999999342,4,C,22,8,2,0,0,0,0
38,15,23.09,23.39,39,C,Y-TR-ONE,4,0.9999999999999323,4,C,22,9,2,0,0,0,0
39,15,23.69,23.99,40,C,Y-CR-ONE,4,0.9999999999999264,4,C,22,10,2,0,0,0,0
40,15,24.41,24.71,41,CN,R-ST-ONE,4,0.9999999999999961,1,S,22,X,3,1,1,1,0
41,15,25.01,25.31,42,N,R-TR-FOUR,3,0.9999999999999973,4,S,22,X,3,1,1,0,0
42,15,25.61,25.91,43,CSN,G-TR-THREE,3,0.9999999999999233,3,S,22,1,3,0,0,0,0
43,15,26.21,26.51,44,S,B-TR-ONE,3,0.9999999999999347,3,S,22,2,3,0,0,0,0
44,15,26.81,27.11,45,S,G-CR-FOUR,2,0.9999999999999357,2,S,22,3,3,0,0,0,0
45,15,27.41,27.71,46,CS,B-CR-THREE,2,0.9999999999999208,2,S,22,4,3,0,0,0,0
46,15,28.01,28.31,47,CS,R-SQ-FOUR,1,0.9999999999999103,1,S,22,5,3,0,0,0,0
47,15,28.61,28.91,48,SN,R-ST-FOUR,4,0.9999999999999337,4,S,22,6,3,0,0,0,0
