,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,75,0.2,0.5,1,C,Y-SQ-ONE,1,0.9999999999999267,4,N,14,X,0,1,0,0,0
1,75,0.8,1.1,2,C,B-SQ-ONE,1,0.9999999999999992,2,N,14,X,0,1,1,0,0
2,75,1.4,1.7,3,SN,R-CR-TWO,2,0.9999999999999689,2,N,14,1,0,0,0,0,0
3,75,2.0,2.3,4,N,R-CR-THREE,3,0.9999999999999272,3,N,14,2,0,0,0,0,0
4,75,2.6,2.9,5,N,B-ST-ONE,1,0.9999999999999214,1,N,14,3,0,0,0,0,0
5,75,3.21,3.51,6,N,Y-ST-ONE,1,0.9999999999999378,1,N,14,4,0,0,0,0,0
6,75,3.81,4.11,7,N,B-CR-ONE,1,0.999999999999909,1,N,14,5,0,0,0,0,0
7,75,4.41,4.71,8,SN,R-TR-THREE,3,0.999999999999914,3,N,14,6,0,0,0,0,0
8,75,5.01,5.31,9,SN,Y-TR-THREE,3,0.9999999999999339,3,N,14,7,0,0,0,0,0
9,75,5.61,5.91,10,CN,R-CR-ONE,1,0.999999999999941,1,N,14,8,0,0,0,0,0
10,75,6.21,6.51,11,N,B-TR-FOUR,4,0.9999999999999155,4,N,14,9,0,0,0,0,0
11,75,6.81,7.11,12,CS,B-CR-FOUR,4,0.9999999999999779,2,N,14,X,0,1,0,0,1
12,75,7.41,7.71,13,CN,G-ST-THREE,3,0.9999999999999345,3,N,14,1,0,0,0,0,0
13,75,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999297,4,N,14,2,0,0,0,0,0
14,75,8.61,8.91,15,N,G-SQ-TWO,2,0.9999999999999889,2,N,14,3,0,0,0,0,0
15,75,9.22,9.52,16,SN,B-TR-THREE,3,0.9999999999999308,3,N,14,4,0,0,0,0,0
16,75,9.82,10.12,17,CN,Y-SQ-FOUR,4,0.9999999999999375,4,N,14,5,0,0,0,0,0
17,75,10.42,10.72,18,C,B-SQ-FOUR,4,0.9999999999999847,2,N,14,X,0,1,1,0,1
18,75,11.02,11.32,19,N,G-TR-FOUR,4,0.999999999999934,4,N,14,1,0,0,0,0,0
19,75,11.62,11.92,20,N,G-ST-TWO,2,0.9999999999999419,2,N,14,2,0,0,0,0,0
