,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,84,0.2,0.5,1,,Y-SQ-ONE,4,0.999999999999995,2,C,3,X,0,1,0,0,0
1,84,0.8,1.1,2,C,B-SQ-ONE,2,0.9999999999999043,2,C,3,1,0,0,0,0,0
2,84,1.4,1.7,3,C,R-CR-TWO,1,0.9999999999810941,1,C,3,2,0,0,0,0,0
3,84,2.0,2.3,4,N,R-CR-THREE,1,0.9999999999999976,3,C,3,X,0,1,0,0,0
4,84,2.6,2.9,5,C,B-ST-ONE,2,0.9999999999999045,2,C,3,1,0,0,0,0,0
5,84,3.21,3.51,6,,Y-ST-ONE,4,0.9999999999999448,2,C,3,X,0,1,0,0,0
6,84,3.81,4.11,7,N,B-CR-ONE,2,0.9999998696685567,1,C,3,X,0,1,0,0,0
7,84,4.41,4.71,8,,R-TR-THREE,1,0.9999999999998788,2,C,3,X,0,1,0,0,0
8,84,5.01,5.31,9,,Y-TR-THREE,4,0.9999999999999478,2,C,3,X,0,1,0,0,0
9,84,5.62,5.92,10,CN,R-CR-ONE,1,0.9999999528399436,1,C,3,1,0,0,0,0,0
10,84,6.22,6.52,11,N,B-TR-FOUR,2,0.9999999999999579,4,C,3,X,0,1,1,0,0
11,84,6.82,7.12,12,CS,B-CR-FOUR,2,0.9999999999999553,2,C,3,1,0,0,0,0,0
12,84,7.42,7.72,13,S,G-ST-THREE,3,0.9999999999999781,4,C,3,X,0,1,1,0,0
13,84,8.02,8.32,14,,G-ST-FOUR,3,0.9999999999999856,2,C,3,X,0,1,0,0,0
14,84,8.62,8.92,15,N,G-SQ-TWO,3,0.9999999999999749,2,C,3,X,0,1,0,0,0
15,84,9.22,9.52,16,C,B-TR-THREE,2,0.9999999999998715,2,C,3,1,0,0,0,0,0
16,84,10.15,10.45,17,CN,Y-SQ-FOUR,4,0.9999999999999681,4,C,3,2,0,0,0,0,0
17,84,10.75,11.05,18,C,B-SQ-FOUR,2,0.9999999999999835,2,C,3,3,0,0,0,0,0
18,84,11.39,11.69,19,N,G-TR-FOUR,3,0.999999999999994,4,C,3,X,0,1,0,0,0
19,84,11.99,12.29,20,S,G-ST-TWO,3,0.9999999999999807,4,C,3,X,0,1,0,0,0
20,84,12.59,12.89,21,C,B-SQ-THREE,2,0.9999999999999669,2,C,3,1,0,0,0,0,0
21,84,13.19,13.49,22,C,R-TR-TWO,1,0.9999999999999609,1,C,3,2,0,0,0,0,0
