,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,71,0.2,0.5,1,SN,Y-SQ-ONE,4,0.9999999999999979,1,C,3,X,0,1,0,0,0
1,71,0.8,1.1,2,SN,B-SQ-ONE,2,0.9999999999999968,1,C,3,X,0,1,1,0,0
2,71,1.76,2.06,3,SN,R-CR-TWO,1,0.9999999999999899,2,C,3,X,0,1,1,0,0
3,71,2.36,2.66,4,C,R-CR-THREE,1,0.999999999999934,1,C,3,1,0,0,0,0,0
4,71,2.97,3.27,5,C,B-ST-ONE,2,0.99999999999991,2,C,3,2,0,0,0,0,0
5,71,3.57,3.87,6,CS,Y-ST-ONE,4,0.9999999999999928,4,C,3,3,0,0,0,0,0
6,71,4.17,4.47,7,CS,B-CR-ONE,2,0.9999999999999398,2,C,3,4,0,0,0,0,0
7,71,4.81,5.11,8,SN,R-TR-THREE,1,0.9999999999999973,3,C,3,X,0,1,1,0,0
8,71,5.41,5.71,9,SN,Y-TR-THREE,4,0.9999999999999978,3,C,3,X,0,1,1,0,0
9,71,6.01,6.31,10,S,R-CR-ONE,1,0.999999999937584,2,C,3,X,0,1,1,0,0
10,71,6.62,6.92,11,C,B-TR-FOUR,2,0.9999999999999286,2,C,3,1,0,0,0,0,0
11,71,7.55,7.85,12,CS,B-CR-FOUR,2,0.9999999999999283,2,C,3,2,0,0,0,0,0
12,71,8.15,8.45,13,CN,G-ST-THREE,3,0.9999999999999821,3,C,3,3,0,0,0,0,0
13,71,8.75,9.05,14,C,G-ST-FOUR,3,0.9999999999999621,3,C,3,4,0,0,0,0,0
14,71,9.35,9.65,15,C,G-SQ-TWO,3,0.9999999999999941,3,C,3,5,0,0,0,0,0
15,71,9.95,10.25,16,C,B-TR-THREE,2,0.9999999999999348,2,C,3,6,0,0,0,0,0
16,71,10.55,10.85,17,CN,Y-SQ-FOUR,4,0.99999999999996,4,C,3,7,0,0,0,0,0
17,71,11.15,11.45,18,C,B-SQ-FOUR,2,0.9999999999999579,2,C,3,8,0,0,0,0,0
