,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,57,0.2,0.5,1,SN,Y-SQ-ONE,1,0.9999999999999976,1,N,10,1,0,0,0,0,0
1,57,0.8,1.1,2,,B-SQ-ONE,1,0.9999999997044744,3,N,10,X,0,1,0,0,0
2,57,1.4,1.7,3,SN,R-CR-TWO,2,0.9999999999999636,2,N,10,1,0,0,0,0,0
3,57,2.0,2.3,4,N,R-CR-THREE,3,0.9999999999999944,3,N,10,2,0,0,0,0,0
4,57,2.6,2.9,5,N,B-ST-ONE,1,0.9999999999999671,1,N,10,3,0,0,0,0,0
5,57,3.21,3.51,6,N,Y-ST-ONE,1,0.9999999999999756,1,N,10,4,0,0,0,0,0
6,57,3.81,4.11,7,N,B-CR-ONE,1,0.9999999999999806,1,N,10,5,0,0,0,0,0
7,57,4.41,4.71,8,SN,R-TR-THREE,3,0.9999999999999799,3,N,10,6,0,0,0,0,0
8,57,5.01,5.31,9,SN,Y-TR-THREE,3,0.9999999999999899,3,N,10,7,0,0,0,0,0
9,57,5.61,5.91,10,CN,R-CR-ONE,1,0.99999999999999,1,N,10,8,0,0,0,0,0
10,57,6.21,6.51,11,N,B-TR-FOUR,4,0.9999999999999636,4,N,10,9,0,0,0,0,0
11,57,6.81,7.11,12,N,B-CR-FOUR,4,0.9999999999999669,4,N,10,10,0,0,0,0,0
12,57,7.41,7.71,13,CN,G-ST-THREE,3,0.9999999999999906,3,C,10,1,1,0,0,0,0
13,57,8.01,8.31,14,SN,G-ST-FOUR,3,0.9999999999999972,4,C,10,X,1,1,1,1,0
14,57,8.61,8.91,15,S,G-SQ-TWO,3,0.9999999999999979,1,C,10,X,1,1,1,0,0
15,57,9.22,9.52,16,C,B-TR-THREE,2,0.9999999999999699,2,C,10,1,1,0,0,0,0
16,57,9.82,10.12,17,CN,Y-SQ-FOUR,4,0.999999999999971,4,C,10,2,1,0,0,0,0
17,57,10.42,10.72,18,C,B-SQ-FOUR,2,0.9999999999999829,2,C,10,3,1,0,0,0,0
18,57,11.02,11.32,19,CS,G-TR-FOUR,3,0.9999999999999762,3,C,10,4,1,0,0,0,0
19,57,11.62,11.92,20,C,G-ST-TWO,3,0.9999999999999962,3,C,10,5,1,0,0,0,0
20,57,12.22,12.52,21,C,B-SQ-THREE,2,0.9999999999999839,2,C,10,6,1,0,0,0,0
21,57,12.82,13.12,22,C,R-TR-TWO,1,0.9999999999999775,1,C,10,7,1,0,0,0,0
22,57,13.42,13.72,23,C,R-ST-TWO,1,0.9999999999999738,1,C,10,8,1,0,0,0,0
23,57,14.02,14.32,24,S,Y-TR-FOUR,4,0.9999999999669149,3,C,10,X,1,1,0,0,1
24,57,14.62,14.92,25,CSN,R-SQ-ONE,1,0.9999999999999875,1,C,10,1,1,0,0,0,0
25,57,15.22,15.52,26,C,Y-SQ-TWO,4,0.9999999999999734,4,C,10,2,1,0,0,0,0
26,57,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.9999999999999688,4,C,10,3,1,0,0,0,0
27,57,16.43,16.73,28,CN,B-TR-TWO,2,0.9999999999999657,2,C,10,4,1,0,0,0,0
28,57,17.03,17.33,29,C,Y-CR-TWO,4,0.9999999999999746,4,C,10,5,1,0,0,0,0
29,57,17.63,17.93,30,C,G-ST-ONE,3,0.999999999999983,3,C,10,6,1,0,0,0,0
30,57,18.23,18.53,31,CN,G-SQ-THREE,3,0.9999999999999846,3,C,10,7,1,0,0,0,0
31,57,18.83,19.13,32,C,B-ST-THREE,2,0.999999999999982,2,C,10,8,1,0,0,0,0
32,57,19.43,19.73,33,C,B-ST-FOUR,2,0.9999999999999756,2,C,10,9,1,0,0,0,0
33,57,20.03,20.33,34,CS,G-TR-ONE,3,0.9999999999999852,3,C,10,10,1,0,0,0,0
34,57,20.63,20.93,35,CS,G-TR-TWO,3,0.9999999999999811,3,S,10,1,2,0,0,0,0
35,57,21.23,21.53,36,C,Y-CR-THREE,2,0.9999999999999977,4,S,10,X,2,1,1,1,0
36,57,21.84,22.14,37,N,R-SQ-THREE,1,0.9999999999999972,3,S,10,X,2,1,0,0,0
