,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,49,0.2,0.5,1,SN,Y-SQ-ONE,1,0.9999999999999502,1,S,20,1,0,0,0,0,0
1,49,1.07,1.38,2,SN,B-SQ-ONE,1,0.9999999999999624,1,S,20,2,0,0,0,0,0
2,49,1.68,1.98,3,SN,R-CR-TWO,2,0.999999999999967,2,S,20,3,0,0,0,0,0
3,49,2.28,2.58,4,N,R-CR-THREE,2,0.999999999999997,3,S,20,X,0,1,1,0,0
4,49,2.88,3.18,5,N,B-ST-ONE,4,0.9999999999999974,1,S,20,X,0,1,1,0,0
5,49,3.48,3.78,6,N,Y-ST-ONE,4,0.9999999999999972,1,S,20,X,0,1,1,0,0
6,49,4.08,4.38,7,N,B-CR-ONE,2,0.9999999999999974,1,S,20,X,0,1,1,0,0
7,49,4.68,4.98,8,SN,R-TR-THREE,3,0.9999999999999943,3,S,20,1,0,0,0,0,0
8,49,5.28,5.58,9,SN,Y-TR-THREE,3,0.9999999999999256,3,S,20,2,0,0,0,0,0
9,49,5.97,6.27,10,CN,R-CR-ONE,2,0.9999999999999978,1,S,20,X,0,1,1,0,0
10,49,6.57,6.87,11,N,B-TR-FOUR,3,0.9999999999999979,4,S,20,X,0,1,1,0,0
11,49,7.17,7.47,12,N,B-CR-FOUR,2,0.9999999999999977,4,S,20,X,0,1,1,0,0
12,49,7.77,8.07,13,CN,G-ST-THREE,4,0.999999999999997,3,S,20,X,0,1,1,0,0
13,49,8.37,8.67,14,SN,G-ST-FOUR,4,0.9999999999999943,4,S,20,1,0,0,0,0,0
14,49,8.97,9.27,15,N,G-SQ-TWO,1,0.9999999999999971,2,S,20,X,0,1,1,0,0
15,49,9.57,9.87,16,SN,B-TR-THREE,3,0.9999999999999799,3,S,20,1,0,0,0,0,0
16,49,10.18,10.48,17,CN,Y-SQ-FOUR,1,0.9999999999999981,4,S,20,X,0,1,1,0,0
17,49,10.78,11.08,18,N,B-SQ-FOUR,1,0.9999999999999968,4,S,20,X,0,1,1,0,0
18,49,11.38,11.68,19,N,G-TR-FOUR,3,0.9999999999999972,4,S,20,X,0,1,1,0,0
