,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,42,0.2,0.5,1,SN,Y-SQ-ONE,4,0.9999999999999203,1,C,0,X,0,1,0,0,0
1,42,0.8,1.1,2,C,B-SQ-ONE,2,0.9999999999999462,2,C,0,1,0,0,0,0,0
2,42,1.4,1.7,3,C,R-CR-TWO,1,0.999999999999971,1,C,0,2,0,0,0,0,0
3,42,2.0,2.3,4,C,R-CR-THREE,1,0.9999999999999653,1,C,0,3,0,0,0,0,0
4,42,2.6,2.9,5,C,B-ST-ONE,2,0.9999999999999457,2,C,0,4,0,0,0,0,0
5,42,3.21,3.51,6,CS,Y-ST-ONE,4,0.9999999999999576,4,C,0,5,0,0,0,0,0
6,42,3.81,4.11,7,CS,B-CR-ONE,2,0.9999999999999487,2,C,0,6,0,0,0,0,0
7,42,4.41,4.71,8,C,R-TR-THREE,1,0.9999999999999742,1,C,0,7,0,0,0,0,0
8,42,5.01,5.31,9,C,Y-TR-THREE,4,0.9999999999999815,4,C,0,8,0,0,0,0,0
9,42,5.61,5.91,10,CN,R-CR-ONE,1,0.9999999999999721,1,C,0,9,0,0,0,0,0
10,42,6.21,6.51,11,C,B-TR-FOUR,2,0.9999999999999702,2,C,0,10,0,0,0,0,0
11,42,6.81,7.11,12,CS,B-CR-FOUR,4,0.999999999999997,2,N,0,X,1,1,1,1,0
12,42,7.41,7.71,13,CN,G-ST-THREE,3,0.9999999999999833,3,N,0,1,1,0,0,0,0
13,42,8.01,8.31,14,SN,G-ST-FOUR,4,0.9999999999999818,4,N,0,2,1,0,0,0,0
14,42,8.61,8.91,15,N,G-SQ-TWO,2,0.9999999999999754,2,N,0,3,1,0,0,0,0
15,42,9.22,9.52,16,SN,B-TR-THREE,3,0.9999999999999817,3,N,0,4,1,0,0,0,0
