,seed,r_tstart,r_tend,trial,match,stimulus,target,similarity,choice,rule,rule_seq_id,correct,n_categories,error,p_error,p_response,fail_shift
0,55,0.2,0.5,1,,Y-SQ-ONE,4,0.99999999999994,2,C,3,X,0,1,0,0,0
1,55,0.8,1.1,2,SN,B-SQ-ONE,2,0.9999999999999969,1,C,3,X,0,1,0,0,0
2,55,1.4,1.7,3,SN,R-CR-TWO,1,0.9999999999999971,2,C,3,X,0,1,1,0,0
3,55,2.0,2.3,4,C,R-CR-THREE,1,0.9999999999999846,1,C,3,1,0,0,0,0,0
4,55,2.6,2.9,5,C,B-ST-ONE,2,0.9999999999999835,2,C,3,2,0,0,0,0,0
5,55,3.21,3.51,6,CS,Y-ST-ONE,4,0.999999999999982,4,C,3,3,0,0,0,0,0
6,55,3.81,4.11,7,CS,B-CR-ONE,2,0.9999999999999871,2,C,3,4,0,0,0,0,0
7,55,4.41,4.71,8,C,R-TR-THREE,1,0.9999999999999872,1,C,3,5,0,0,0,0,0
8,55,5.01,5.31,9,C,Y-TR-THREE,4,0.9999999999999604,4,C,3,6,0,0,0,0,0
9,55,5.61,5.91,10,CN,R-CR-ONE,1,0.9999999999999838,1,C,3,7,0,0,0,0,0
10,55,6.21,6.51,11,C,B-TR-FOUR,2,0.9999999999999827,2,C,3,8,0,0,0,0,0
11,55,6.81,7.11,12,CS,B-CR-FOUR,2,0.9999999999999785,2,C,3,9,0,0,0,0,0
12,55,7.41,7.71,13,CN,G-ST-THREE,3,0.999999999999958,3,C,3,10,0,0,0,0,0
13,55,8.01,8.31,14,C,G-ST-FOUR,4,0.999999999999997,3,N,3,X,1,1,1,1,0
14,55,8.61,8.91,15,N,G-SQ-TWO,2,0.9999999999999809,2,N,3,1,1,0,0,0,0
15,55,9.22,9.52,16,SN,B-TR-THREE,3,0.9999999999999821,3,N,3,2,1,0,0,0,0
16,55,9.82,10.12,17,CN,Y-SQ-FOUR,4,0.9999999999999872,4,N,3,3,1,0,0,0,0
17,55,10.42,10.72,18,N,B-SQ-FOUR,4,0.9999999999999861,4,N,3,4,1,0,0,0,0
18,55,11.02,11.32,19,N,G-TR-FOUR,4,0.9999999999999899,4,N,3,5,1,0,0,0,0
19,55,11.62,11.92,20,N,G-ST-TWO,2,0.999999999999979,2,N,3,6,1,0,0,0,0
20,55,12.22,12.52,21,N,B-SQ-THREE,3,0.9999999999999846,3,N,3,7,1,0,0,0,0
21,55,12.82,13.12,22,N,R-TR-TWO,2,0.9999999999999855,2,N,3,8,1,0,0,0,0
22,55,13.42,13.72,23,N,R-ST-TWO,2,0.9999999999999859,2,N,3,9,1,0,0,0,0
23,55,14.02,14.32,24,CN,Y-TR-FOUR,4,0.9999999999999851,4,N,3,10,1,0,0,0,0
24,55,14.62,14.92,25,CSN,R-SQ-ONE,1,0.9999999999999841,1,S,3,1,2,0,0,0,0
25,55,15.22,15.52,26,N,Y-SQ-TWO,1,0.9999999999999976,2,S,3,X,2,1,1,1,0
26,55,15.83,16.13,27,CSN,Y-ST-FOUR,4,0.9999999999999483,4,S,3,1,2,0,0,0,0
27,55,16.43,16.73,28,S,B-TR-TWO,3,0.9999999999999697,3,S,3,2,2,0,0,0,0
28,55,17.03,17.33,29,SN,Y-CR-TWO,2,0.999999999999985,2,S,3,3,2,0,0,0,0
29,55,17.63,17.93,30,S,G-ST-ONE,4,0.9999999999999735,4,S,3,4,2,0,0,0,0
30,55,18.23,18.53,31,S,G-SQ-THREE,1,0.9999999999999899,1,S,3,5,2,0,0,0,0
31,55,18.83,19.13,32,S,B-ST-THREE,4,0.9999999999999829,4,S,3,6,2,0,0,0,0
32,55,19.43,19.73,33,SN,B-ST-FOUR,4,0.9999999999999778,4,S,3,7,2,0,0,0,0
33,55,20.03,20.33,34,CS,G-TR-ONE,3,0.9999999999999549,3,S,3,8,2,0,0,0,0
34,55,20.63,20.93,35,CS,G-TR-TWO,3,0.9999999999999499,3,S,3,9,2,0,0,0,0
35,55,21.23,21.53,36,S,Y-CR-THREE,2,0.9999999999999881,2,S,3,10,2,0,0,0,0
36,55,21.84,22.14,37,CS,R-SQ-THREE,3,0.9999999999999977,1,N,3,X,3,1,1,1,0
